"group","variant","label","param","median","lo95","hi95","rhat"
"English","long_slopes","lean ref","sigma_alpha",1.72484133431206,1.55788621922284,1.91215509873795,1.00218911499805
"English","long_slopes","lean ref","sigma_xi",1.80557160627356,1.64682138342163,1.98528293158719,1.00218709779644
"English","long_slopes","lean ref","sigma_zeta",3.48347934121589,3.16072683111089,3.83363067085607,1.0003787109057
"English","long_slopes","lean ref","rho_xi_zeta",0.347923663260063,0.223266647163725,0.467816180309122,1.00038301286228
"English","long_slopes","lean ref","pi_alpha",0.91257563455767,0.894908176708278,0.927686879261974,1.00263623508258
"English","long_slopes","lean ref","delta",9.3910111336051,9.24840157321346,9.53954624471823,1.00015412277625
"English","long_slopes","lean ref","s",0.523269855671034,0.423176895702711,0.623437106546118,0.999701684734956
"English","long_baseline","drop slopes","sigma_alpha",1.77031230417566,1.59583768433307,1.96458930806038,1.00716963039789
"English","long_baseline","drop slopes","sigma_xi",1.84905836885921,1.6827682893672,2.0358345576735,1.00716963039789
"English","long_baseline","drop slopes","rho_xi_zeta",0.0854228611854875,-0.808753923359042,0.844277747139555,1.00150083518432
"English","long_baseline","drop slopes","pi_alpha",0.916639428800639,0.8993501110636,0.931233494114545,1.00716963039789
"English","long_baseline","drop slopes","delta",9.13051116570785,9.00767141084613,9.26066357602676,1.00125524592677
"English","long_baseline","drop slopes","s",0.523318445174929,0.424450158308831,0.619049883170991,1.00179028359855
"English","long_fix_delta_slopes","pin delta=0","sigma_alpha",7.24558592839727,6.97527175005978,7.53236239047554,1.00210243656052
"English","long_fix_delta_slopes","pin delta=0","sigma_xi",7.26522722580725,6.99567203239288,7.55125780111706,1.00210243656052
"English","long_fix_delta_slopes","pin delta=0","sigma_zeta",35.4644791420275,34.493411164336,36.4833812468116,1.00166067416621
"English","long_fix_delta_slopes","pin delta=0","rho_xi_zeta",0.983709636614713,0.979824456418498,0.98676468341889,1.00537998675626
"English","long_fix_delta_slopes","pin delta=0","s",0.649314888842616,0.553817173181008,0.749969655979753,1.00013196529017
