"group","citation","language","n","n_admins","mean_age","min_age","max_age","longitudinal","input","n_recordings","n_lwl"
"Wordbank longitudinal","Thal et al. (20XX)","English (American)",653,1947,19.1,12,29,"yes","",NA,NA
"Wordbank longitudinal","Smith et al. (20XX)","English (American)",314,878,21.9,16,30,"yes","",NA,NA
"Wordbank longitudinal","Marchman et al. (20XX)","English (American)",314,714,22.6,16,30,"yes","",NA,NA
"Wordbank longitudinal","Simonsen et al. (2014)","Norwegian",1676,6347,25.1,8,36,"yes","",NA,NA
"Wordbank longitudinal","Hagihara et al. (2023)","Japanese",178,425,17.4,8,34,"yes","",NA,NA
"Input / processing","Long et al. (2024)","English (American)",22,103,18.6,9,32,"yes","headcam",5739,NA
"Input / processing","Egan-Dailey & Bergelson (2025)","English (American)",44,514,12.2,6,18,"yes","LENA",525,NA
"Input / processing","Adams et al. (2018)","English (American)",67,167,20.1,13,27,"yes","LENA",126,440
"Input / processing","Fernald et al. (2013)","English (American)",60,142,23.2,18,30,"yes","LENA",51,93
"Input / processing","Fernald & Marchman (2012)","English (American)",119,393,22.9,14,30,"yes","",NA,419
"Wordbank cross-sectional","Frank et al. (2017)","Arabic (Saudi)",258,258,11.9,8,16,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Cantonese",1200,1200,23.4,16,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Catalan",1200,1200,19.6,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Croatian",627,627,19,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Czech",493,493,23,16,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Danish",1200,1200,20.9,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Dutch",446,446,15.6,8,31,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","English (American)",1200,1200,19.3,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","English (Australian)",1200,1200,20.5,12,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Estonian",1200,1200,23.3,16,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Finnish",234,234,16.5,9,24,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","French (French)",1200,1200,21.6,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","German",1181,1181,24.1,18,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Hebrew",534,534,27.4,11,35,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Hungarian",369,369,23.1,16,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Italian",1200,1200,20.5,7,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Japanese",846,846,20.4,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Kigiriama",205,205,16.1,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Korean",1200,1200,23,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Latvian",683,683,22.3,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Mandarin (Beijing)",1056,1056,23,16,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Mandarin (Taiwanese)",1200,1200,21.8,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Norwegian",1200,1200,23.3,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Portuguese (European)",1200,1200,19.4,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Russian",1200,1200,21.4,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Slovak",1200,1200,20,8,36,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Spanish (Argentinian)",783,783,23.3,16,33,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Spanish (European)",1005,1005,18.4,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Spanish (Mexican)",1200,1200,18.9,8,30,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Swedish",1200,1200,18.9,8,28,"","",NA,NA
"Wordbank cross-sectional","Frank et al. (2017)","Turkish",1200,1200,21.4,8,36,"","",NA,NA
