"language","n_admins","n_items","age_min","age_max","pop_slope","sigma_theta_pooled","sigma_theta_within","months_per_sd_within"
"English (Australian)",513,547,12,30,0.51835430743911,3.49102881236562,2.02751150508383,3.91143948451128
"Cantonese",510,796,16,30,0.471580198052548,2.82075864051611,1.94866188523801,4.13219616363297
"Danish",510,717,16,30,0.507931647097721,2.86567360844608,1.84030576856797,3.62313665447571
"English (American)",510,680,16,30,0.442826901430286,2.8864762010947,2.1596529801091,4.87696879555791
"Estonian",510,631,16,30,0.375299113476845,2.45380586051297,1.84032837858686,4.90363103056039
"French (French)",510,680,16,30,0.29588821809046,2.16414113308987,1.74528865079256,5.89847295054847
"French (Quebecois)",510,661,16,30,0.402935250696248,2.77627164221161,2.16126572053904,5.36380402758136
"Mandarin (Beijing)",510,779,16,30,0.537141083071495,3.17936237452143,2.17072506953658,4.04125682795268
"Mandarin (Taiwanese)",510,696,16,30,0.469077248049061,2.8978254081835,2.0693069907005,4.41144182393616
"German",507,588,18,30,0.521683977139109,2.97856146830007,2.2481414668704,4.3093933595567
"Korean",507,637,18,30,0.447373902059719,2.8553725131051,2.31205685668048,5.16806377402821
"Catalan",500,678,16,30,0.498406729167138,2.68234979886539,1.64457201854977,3.29965853650879
"Italian",497,667,18,30,0.423063387008166,2.37872358303241,1.79443982506114,4.24153892812875
"Czech",493,550,16,30,0.392678268114162,2.42386187278999,1.76827081117149,4.50310331575926
"Japanese",397,710,16,30,0.434317482566583,2.48126492836368,1.8629978033173,4.28948379491422
"Croatian",377,713,16,30,0.391531078463114,2.21094235810168,1.50251455076906,3.83753585198629
"Latvian",365,721,17,30,0.387655647889161,2.68114247103978,2.19860057425795,5.67152983899406
"Hungarian",363,787,16,30,0.387221691754002,2.62672264540693,2.14191557249927,5.53149686113145
"Hebrew",362,603,25,30,0.388441432958613,2.33314919701392,2.25064810882811,5.79404748789481
"Dutch",301,704,16,30,0.57069789282599,3.09274336475071,1.78263360773125,3.12360292571606
