"language","age_int","n","mean_theta","sd_theta"
"Cantonese",16,34,-5.11093487666512,1.43865417888907
"Cantonese",17,34,-4.80331612312866,1.80645003442951
"Cantonese",18,34,-4.58684905960433,2.12691444189864
"Cantonese",19,34,-4.39416476614565,2.03514802976787
"Cantonese",20,34,-2.69469099996345,1.98922757496825
"Cantonese",21,34,-2.53248001641596,2.1205416880432
"Cantonese",22,34,-2.40083097647408,2.0831998249309
"Cantonese",23,34,-1.77496270457989,2.45086817007795
"Cantonese",24,34,-1.25469057621691,2.41075690401559
"Cantonese",25,34,-0.689955964647365,1.63157225436522
"Cantonese",26,34,-0.36132877275246,2.01520881033234
"Cantonese",27,34,0.263483748841905,1.77370230065543
"Cantonese",28,34,0.528782001034256,1.54255135987037
"Cantonese",29,34,0.686115307344761,2.01754244965759
"Cantonese",30,34,1.04132831237809,1.49493062354043
"Catalan",16,24,-5.15996634677692,1.19999660508634
"Catalan",17,34,-4.48283537229935,1.34438793491704
"Catalan",18,34,-4.22087344799394,1.71113712552627
"Catalan",19,34,-3.27017220628124,1.30636666823996
"Catalan",20,34,-2.80348439572936,1.54997741358842
"Catalan",21,34,-2.42182819307654,1.38415411953468
"Catalan",22,34,-1.54222183231628,1.68176840858713
"Catalan",23,34,-1.76370550954138,1.42008453017749
"Catalan",24,34,-0.331062158241905,2.18321729148244
"Catalan",25,34,-0.283723121254311,1.74646964032313
"Catalan",26,34,0.158164257663545,1.42286256077363
"Catalan",27,34,0.770299614107505,1.62364681876675
"Catalan",28,34,0.458738093085677,1.80442511650946
"Catalan",29,34,1.28628917038882,1.63470949721249
"Catalan",30,34,2.19993713193852,2.12528708243574
"Croatian",16,13,-4.86143148572644,1.06241922080081
"Croatian",17,25,-3.83742035819712,1.51536429518122
"Croatian",18,22,-3.52409813755748,1.42616692874703
"Croatian",19,21,-3.07393680607693,1.6158652045241
"Croatian",20,26,-2.47656489646932,1.79042449698238
"Croatian",21,29,-2.53976751042887,1.69551418821946
"Croatian",22,24,-1.77002753247576,1.39056266952489
"Croatian",23,26,-1.33921731400991,1.70675966723671
"Croatian",24,30,-0.626640530713623,1.20564906294506
"Croatian",25,30,-0.639275286429486,1.50513043994196
"Croatian",26,29,-0.100784524062412,1.57738846242352
"Croatian",27,25,0.296001207320514,1.13235780450331
"Croatian",28,21,0.71393828219428,1.18666804309471
"Croatian",29,28,0.274052399944626,1.30675883841815
"Croatian",30,28,0.99369293730321,1.86117992483749
"Czech",16,29,-4.70238396711358,1.25700846384177
"Czech",17,29,-3.63248249628318,1.29693693563377
"Czech",18,45,-3.41552792685461,1.20848041420286
"Czech",19,27,-3.44826201087549,1.31746141337293
"Czech",20,26,-1.91866388822287,1.37432122567608
"Czech",21,34,-2.16985690791289,1.56143661682743
"Czech",22,36,-1.74484008562502,1.80916275822914
"Czech",23,46,-1.40787266432153,1.90595712961605
"Czech",24,35,-1.24175430271524,1.75262130488151
"Czech",25,35,-0.678328884605709,1.82487275807317
"Czech",26,22,-0.0536650816548681,2.22874116156085
"Czech",27,37,-0.148607901803042,2.20797658590455
"Czech",28,26,1.29011591867344,2.03834414737008
"Czech",29,39,0.441615243464638,2.03545487669452
"Czech",30,27,1.2219273265223,2.12361527221718
"Danish",16,34,-5.4520676234289,1.49228124813412
"Danish",17,34,-5.43748828680579,1.75915203230353
"Danish",18,34,-4.77239277939125,1.52996480547079
"Danish",19,34,-4.30068690064592,1.64218508722783
"Danish",20,34,-3.01423898099649,1.74979603081586
"Danish",21,34,-2.90724177964754,1.91397557845734
"Danish",22,34,-1.72851496817268,1.8674445992174
"Danish",23,34,-1.98959810568229,1.87100602190964
"Danish",24,34,-1.23990486504501,1.90389018355947
"Danish",25,34,-0.861358662575599,2.00715631046857
"Danish",26,34,0.339271502025125,1.60916533552188
"Danish",27,34,0.259546101287157,1.77739715694948
"Danish",28,34,0.319269905900341,1.76673471111696
"Danish",29,34,0.342183324838416,2.43965904400149
"Danish",30,34,1.5768864189953,1.78659160643012
"Dutch",17,49,-4.44253104540837,1.05733951290029
"Dutch",18,68,-4.25124400219977,1.51379932623272
"Dutch",19,7,-3.54210429953896,1.08283335821321
"Dutch",20,7,-2.47999006157087,2.90417587775531
"Dutch",21,7,-3.05993280695941,2.01797080687814
"Dutch",22,7,-1.11372621194604,3.48471201694159
"Dutch",23,51,-0.807876405850936,1.98047649492875
"Dutch",24,31,-0.650489408061798,1.59253862130562
"Dutch",25,6,0.729611941822713,1.29979518633309
"Dutch",26,6,-0.930319217848858,3.36640833235408
"Dutch",27,5,0.991709393732259,3.5584517090591
"Dutch",28,6,2.99888609703515,1.44326266029823
"Dutch",29,23,2.22012550863185,1.86529817677864
"Dutch",30,24,2.5067801339576,1.63307461504923
"English (American)",16,34,-4.23635196154934,1.6117365842868
"English (American)",17,34,-4.28641995473787,1.71954554238637
"English (American)",18,34,-3.53911644749197,2.46988585633771
"English (American)",19,34,-3.12356297921475,2.09907568942004
"English (American)",20,34,-2.67841728540708,1.57700790367136
"English (American)",21,34,-2.63129755701499,1.83573478857185
"English (American)",22,34,-1.11287486298815,2.29319884724198
"English (American)",23,34,-1.20379311668366,2.51464471646687
"English (American)",24,34,-0.337695904846676,2.43030069962033
"English (American)",25,34,0.565760535935038,2.57892234503105
"English (American)",26,34,-0.0872270437980357,1.72634320605604
"English (American)",27,34,0.364988904016699,2.20974988254818
"English (American)",28,34,1.8377365416051,1.49823349813897
"English (American)",29,34,1.28987217985665,2.36195525997044
"English (American)",30,34,0.728282502112496,2.47867833131516
"English (Australian)",12,27,-7.91637854537572,1.50667420016795
"English (Australian)",13,27,-6.50983469321209,1.60319863723511
"English (Australian)",14,27,-5.56571219195424,0.97917156315961
"English (Australian)",15,27,-5.36133389108659,1.98812789708659
"English (Australian)",16,27,-4.51521415595127,1.68702118679071
"English (Australian)",17,27,-4.34421465213428,1.44352876789432
"English (Australian)",18,27,-3.3286923072099,1.28622786096507
"English (Australian)",19,27,-2.46350521461877,1.97109321132963
"English (Australian)",20,27,-1.98121359249734,1.88315067170406
"English (Australian)",21,27,-2.02753212004097,1.89002904068997
"English (Australian)",22,27,-0.868163433520286,2.20688691342234
"English (Australian)",23,27,-0.482666952635686,1.91942390361765
"English (Australian)",24,27,0.111389186111874,2.68523912626004
"English (Australian)",25,27,-0.396160982134925,2.48072315420006
"English (Australian)",26,27,0.0927231260405301,2.17871136781908
"English (Australian)",27,27,1.40192180391251,2.4327364466437
"English (Australian)",28,27,1.45305959755048,2.60203773439281
"English (Australian)",29,27,1.29983929082377,2.2536265524469
"English (Australian)",30,27,1.97770527891456,1.97074366136831
"Estonian",16,34,-4.10281425222868,1.50135876652995
"Estonian",17,34,-3.86500453266823,1.30790731578586
"Estonian",18,34,-2.86838348149162,1.49821992411208
"Estonian",19,34,-2.82185404450626,1.65792066983637
"Estonian",20,34,-2.25900495675601,1.71133630189823
"Estonian",21,34,-2.58221054041655,2.25622638845108
"Estonian",22,34,-1.76141050516938,1.99764205693805
"Estonian",23,34,-0.586449987479161,1.75677138762192
"Estonian",24,34,-0.686074749324545,1.99866920488511
"Estonian",25,34,-0.108491102463773,1.94401172709823
"Estonian",26,34,-0.41148374805726,1.91384525810427
"Estonian",27,34,0.232096826696381,1.96776939509276
"Estonian",28,34,0.888282344830148,1.6358924389919
"Estonian",29,34,0.580437318124127,2.1407823317261
"Estonian",30,34,1.01813286127082,1.96901818693528
"French (French)",16,34,-4.51271083146363,1.45281312734789
"French (French)",17,34,-4.32762567725621,1.47954558035846
"French (French)",18,34,-2.42133737710805,2.33902746815638
"French (French)",19,34,-2.54181120015272,1.64830954051983
"French (French)",20,34,-1.81873957491405,1.28817365105558
"French (French)",21,34,-1.81334934871714,1.33263532655323
"French (French)",22,34,-1.50364398289455,1.28641648811066
"French (French)",23,34,-2.11027087966243,1.62119693511058
"French (French)",24,34,-1.27230937437933,1.33996242704929
"French (French)",25,34,-0.57561818192275,1.52139762867877
"French (French)",26,34,-0.959205844077027,1.93509702445613
"French (French)",27,34,-0.616258900389709,1.94617519473813
"French (French)",28,34,-0.752293429981262,2.15006148650697
"French (French)",29,34,0.537945816159259,1.42567067495644
"French (French)",30,34,0.104781316469939,2.07695745765072
"French (Quebecois)",16,34,-4.1890062949225,1.33534169207951
"French (Quebecois)",17,34,-4.26413792237559,1.43641040072478
"French (Quebecois)",18,34,-3.75605750355566,1.82829451457141
"French (Quebecois)",19,34,-3.10562696601121,1.85321167684797
"French (Quebecois)",20,34,-3.11537694016762,2.48143355870286
"French (Quebecois)",21,34,-2.07739855205641,2.42004537545027
"French (Quebecois)",22,34,-1.89815032779146,2.19881940430504
"French (Quebecois)",23,34,-1.1299726321813,1.74878006644451
"French (Quebecois)",24,34,-1.9936239597593,2.27404400842257
"French (Quebecois)",25,34,-0.480294371627218,2.37222926048894
"French (Quebecois)",26,34,-0.293523676723342,2.17126826285234
"French (Quebecois)",27,34,0.513470066313166,2.49627296102979
"French (Quebecois)",28,34,0.740365066053386,1.65700133157634
"French (Quebecois)",29,34,1.56916545756108,2.08363850769426
"French (Quebecois)",30,34,-0.00339852081339719,2.97449190714128
"German",18,39,-4.2343469311802,1.8250110729857
"German",19,39,-3.56766070247795,2.50839237530926
"German",20,39,-2.95501488223326,1.83007588443333
"German",21,39,-2.72130915307624,2.52966162760887
"German",22,39,-2.11992162119391,2.52675788139243
"German",23,39,-1.10308222228054,2.15467769773847
"German",24,39,-1.19044040983727,2.09691260563072
"German",25,39,0.223101600703076,2.60801642327888
"German",26,39,0.261624736807762,2.08713872571956
"German",27,39,0.107963534206047,2.31454899701444
"German",28,39,0.758593637055363,2.57742378938817
"German",29,39,2.01803761806765,2.28891821005334
"German",30,39,2.03006366192005,1.669619859922
"Hebrew",25,82,0.308184596446498,2.23916454080393
"Hebrew",26,80,1.03166005962056,2.3358470698741
"Hebrew",27,68,1.45026403294432,2.41058488370689
"Hebrew",28,57,1.96091541178978,2.03423106724848
"Hebrew",29,47,1.84886739214026,1.76398361377209
"Hebrew",30,28,2.23021548404892,2.80577667138104
"Hungarian",16,20,-4.4676737586118,1.48877258775971
"Hungarian",17,18,-3.93467573238442,2.32627908610801
"Hungarian",18,18,-3.33746666978508,1.51427496576618
"Hungarian",19,26,-2.39144693844919,2.1695300587673
"Hungarian",20,17,-2.36228401058713,1.9312690346505
"Hungarian",21,35,-1.32914929679842,1.67872937168893
"Hungarian",22,27,-1.80084416181859,1.89405389834452
"Hungarian",23,18,-1.4674450085078,1.92089594520546
"Hungarian",24,37,-1.27358527712609,2.2533645154969
"Hungarian",25,43,0.194399757348626,2.34917068486581
"Hungarian",26,22,0.0112621968072398,2.15103232877764
"Hungarian",27,24,0.472884312388139,2.15432135885657
